variant,profile,metric,lists,probes,clients,repeat,recall,result_hash,p50_ms,p95_ms,qps,table_bytes,index_bytes,result_count
optimized-list-sweep,quick,cosine,50,5,1,1,0.676000,7be5774b69c7d9a584dae924c3abd794,0.992,1.391,979.994407,58720256,54845440,500
optimized-list-sweep,quick,cosine,50,5,12,1,0.676000,7be5774b69c7d9a584dae924c3abd794,1.296,1.800,9077.361198,58720256,54845440,500
optimized-list-sweep,quick,cosine,50,10,1,1,0.864000,c8ad08bddb8dccbb39beffecc63d05a7,1.743,2.319,559.828059,58720256,54845440,500
optimized-list-sweep,quick,cosine,50,10,12,1,0.864000,c8ad08bddb8dccbb39beffecc63d05a7,2.375,3.114,4999.839877,58720256,54845440,500
optimized-list-sweep,quick,cosine,50,20,1,1,0.962000,5ad19c51a155ed4412be275ab8f31a76,3.390,4.358,288.176220,58720256,54845440,500
optimized-list-sweep,quick,cosine,50,20,12,1,0.962000,5ad19c51a155ed4412be275ab8f31a76,4.393,5.493,2727.031771,58720256,54845440,500
optimized-list-sweep,quick,cosine,100,1,1,1,0.776000,be42c0e595109a77df47257cf500840a,0.268,0.403,3485.401286,58720256,54984704,500
optimized-list-sweep,quick,cosine,100,1,12,1,0.776000,be42c0e595109a77df47257cf500840a,0.347,0.473,33392.442394,58720256,54984704,500
optimized-list-sweep,quick,cosine,100,5,1,1,0.930000,048e8a9ee6e37a7e1f16da94259390f3,0.590,0.840,1621.366812,58720256,54984704,500
optimized-list-sweep,quick,cosine,100,5,12,1,0.930000,048e8a9ee6e37a7e1f16da94259390f3,0.810,1.108,14467.030760,58720256,54984704,500
optimized-list-sweep,quick,cosine,100,10,1,1,0.946000,faddd0f7d6d31f7c90863eb5c34ca03f,1.039,1.388,933.133438,58720256,54984704,500
optimized-list-sweep,quick,cosine,100,10,12,1,0.946000,faddd0f7d6d31f7c90863eb5c34ca03f,1.309,1.678,9124.134191,58720256,54984704,500
optimized-list-sweep,quick,cosine,100,20,1,1,0.974000,7dc37ae30fa75e8f56d0b5d976141046,1.676,2.178,577.733982,58720256,54984704,500
optimized-list-sweep,quick,cosine,100,20,12,1,0.974000,7dc37ae30fa75e8f56d0b5d976141046,2.312,2.869,5191.880368,58720256,54984704,500
optimized-list-sweep,quick,cosine,200,1,1,1,0.572000,9275c79ebe840ab8db2d366fb91183df,0.234,0.326,4066.671803,58720256,55435264,485
optimized-list-sweep,quick,cosine,200,1,12,1,0.572000,9275c79ebe840ab8db2d366fb91183df,0.302,0.403,38240.431124,58720256,55435264,485
optimized-list-sweep,quick,cosine,200,5,1,1,0.984000,ae4248f27e6a04a68c414cf4d9343daf,0.400,0.587,2391.923106,58720256,55435264,500
optimized-list-sweep,quick,cosine,200,5,12,1,0.984000,ae4248f27e6a04a68c414cf4d9343daf,0.520,0.726,22346.578589,58720256,55435264,500
optimized-list-sweep,quick,cosine,200,10,1,1,1.000000,e60e237175aded2e1f8dc12d2a270091,0.589,0.846,1634.242763,58720256,55435264,500
optimized-list-sweep,quick,cosine,200,10,12,1,1.000000,e60e237175aded2e1f8dc12d2a270091,0.800,1.113,14630.098349,58720256,55435264,500
optimized-list-sweep,quick,cosine,200,20,1,1,1.000000,e60e237175aded2e1f8dc12d2a270091,0.971,1.380,985.484859,58720256,55435264,500
optimized-list-sweep,quick,cosine,200,20,12,1,1.000000,e60e237175aded2e1f8dc12d2a270091,1.312,1.753,9010.795131,58720256,55435264,500
