elapsed_ms,pid,phase,blocks_total,blocks_done,tuples_total,tuples_done,relid,index_relid
9341,22788,building index: loading tuples,7168,2163,0,30294,69224,0
9400,22788,building index: loading tuples,7168,2177,0,30479,69224,0
9460,22788,building index: loading tuples,7168,2189,0,30656,69224,0
9519,22788,building index: loading tuples,7168,2202,0,30838,69224,0
9580,22788,building index: loading tuples,7168,2214,0,31004,69224,0
9641,22788,building index: loading tuples,7168,2225,0,31161,69224,0
9701,22788,building index: loading tuples,7168,2236,0,31313,69224,0
9760,22788,building index: loading tuples,7168,2248,0,31476,69224,0
9820,22788,building index: loading tuples,7168,2258,0,31622,69224,0
9879,22788,building index: loading tuples,7168,2269,0,31771,69224,0
9939,22788,building index: loading tuples,7168,2279,0,31916,69224,0
9999,22788,building index: loading tuples,7168,2290,0,32065,69224,0
10059,22788,building index: loading tuples,7168,2300,0,32208,69224,0
10119,22788,building index: loading tuples,7168,2310,0,32350,69224,0
10178,22788,building index: loading tuples,7168,2320,0,32491,69224,0
10238,22788,building index: loading tuples,7168,2330,0,32633,69224,0
10298,22788,building index: loading tuples,7168,2340,0,32768,69224,0
10358,22788,building index: loading tuples,7168,2350,0,32911,69224,0
10418,22788,building index: loading tuples,7168,2361,0,33054,69224,0
10478,22788,building index: loading tuples,7168,2371,0,33194,69224,0
10538,22788,building index: loading tuples,7168,2381,0,33336,69224,0
10599,22788,building index: loading tuples,7168,2390,0,33464,69224,0
10660,22788,building index: loading tuples,7168,2400,0,33601,69224,0
10720,22788,building index: loading tuples,7168,2409,0,33737,69224,0
10780,22788,building index: loading tuples,7168,2419,0,33872,69224,0
10839,22788,building index: loading tuples,7168,2429,0,34008,69224,0
10898,22788,building index: loading tuples,7168,2439,0,34149,69224,0
10957,22788,building index: loading tuples,7168,2449,0,34292,69224,0
11016,22788,building index: loading tuples,7168,2459,0,34434,69224,0
11078,22788,building index: loading tuples,7168,2469,0,34578,69224,0
11139,22788,building index: loading tuples,7168,2479,0,34718,69224,0
11198,22788,building index: loading tuples,7168,2490,0,34860,69224,0
11259,22788,building index: loading tuples,7168,2500,0,35002,69224,0
11319,22788,building index: loading tuples,7168,2510,0,35140,69224,0
11378,22788,building index: loading tuples,7168,2520,0,35285,69224,0
11438,22788,building index: loading tuples,7168,2530,0,35431,69224,0
11497,22788,building index: loading tuples,7168,2540,0,35573,69224,0
11557,22788,building index: loading tuples,7168,2551,0,35720,69224,0
11618,22788,building index: loading tuples,7168,2561,0,35867,69224,0
11677,22788,building index: loading tuples,7168,2572,0,36014,69224,0
11738,22788,building index: loading tuples,7168,2583,0,36168,69224,0
11797,22788,building index: loading tuples,7168,2595,0,36333,69224,0
11856,22788,building index: loading tuples,7168,2606,0,36494,69224,0
11916,22788,building index: loading tuples,7168,2617,0,36643,69224,0
11975,22788,building index: loading tuples,7168,2628,0,36794,69224,0
12035,22788,building index: loading tuples,7168,2638,0,36942,69224,0
12094,22788,building index: loading tuples,7168,2649,0,37087,69224,0
12154,22788,building index: loading tuples,7168,2658,0,37225,69224,0
12213,22788,building index: loading tuples,7168,2668,0,37361,69224,0
12273,22788,building index: loading tuples,7168,2678,0,37497,69224,0
12332,22788,building index: loading tuples,7168,2690,0,37664,69224,0
12392,22788,building index: loading tuples,7168,2707,0,37900,69224,0
12451,22788,building index: loading tuples,7168,2722,0,38119,69224,0
12511,22788,building index: loading tuples,7168,2738,0,38338,69224,0
