PID      INDEX            PHASE                              INTRA%    PCT     ELAPSED_S ETA_S    RISK
6219     (building oid=0) building index: loading tuples     71.88     71.88   64.4      39.9     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     72.13     72.13   64.9      39.3     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     72.48     72.48   65.4      38.8     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     72.84     72.84   66.0      38.3     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     73.19     73.19   66.5      37.8     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     73.66     73.66   67.0      37.3     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     74.02     74.02   67.6      36.8     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     74.37     74.37   68.1      36.3     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     74.73     74.73   68.6      35.8     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     74.97     74.97   69.2      35.3     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     75.56     75.56   69.7      34.7     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     75.91     75.91   70.2      34.2     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     76.16     76.16   70.7      33.6     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     76.51     76.51   71.3      33.1     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     76.87     76.87   71.8      32.5     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     77.23     77.23   72.3      32.0     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     77.69     77.69   72.9      31.4     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     78.04     78.04   73.4      30.9     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     78.40     78.40   73.9      30.4     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     78.63     78.63   74.4      29.8     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     79.00     79.00   75.0      29.3     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     79.58     79.58   75.5      28.7     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     79.82     79.82   76.0      28.2     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     80.18     80.18   76.5      27.6     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     80.53     80.53   77.1      27.1     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     80.89     80.89   77.6      26.5     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     81.24     81.24   78.1      26.0     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     81.82     81.82   78.7      25.4     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     82.17     82.17   79.2      24.9     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     82.52     82.52   79.7      24.4     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     82.87     82.87   80.2      23.9     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     83.22     83.22   80.8      23.4     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     83.46     83.46   81.3      22.8     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     83.81     83.81   81.8      22.3     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     84.21     84.21   82.3      21.8     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     84.77     84.77   82.9      21.3     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     84.89     84.89   83.4      20.8     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     85.46     85.46   83.9      20.4     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     85.58     85.58   84.5      19.9     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     86.15     86.15   85.0      19.4     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     86.38     86.38   85.5      18.9     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     86.77     86.77   86.0      18.4     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     87.07     87.07   86.6      17.9     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     87.47     87.47   87.1      17.4     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     87.76     87.76   87.6      16.9     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     88.16     88.16   88.1      16.5     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     88.62     88.62   88.7      16.0     ⚠ 预测会降级落盘
6219     (building oid=0) building index: loading tuples     88.90     88.90   89.2      15.5     ⚠ 预测会降级落盘
